,0
587,2661
588,7767
589,23380
590,12339
591,4608
592,12958
593,23416
594,23160
595,1600
596,17811
597,14015
598,14661
599,3524
600,17963
601,11667
602,20857
603,23215
604,18139
605,2795
606,17049
607,21569
608,16849
609,9544
610,11988
611,3505
612,11007
613,21008
614,21237
615,4307
616,8014
617,19779
618,12638
619,21451
620,11732
621,19114
622,14805
623,19180
624,10474
625,9816
626,1894
627,7549
628,10153
629,7300
630,16816
631,997
632,820
633,4332
634,3401
635,4549
636,17128
637,23205
638,5020
639,16595
640,734
641,23775
642,8531
643,21848
644,19083
645,6168
646,11652
647,12552
648,4368
649,7808
650,10755
651,22615
652,13005
653,4372
654,7469
655,17290
656,9477
657,12698
658,6929
659,4397
660,18186
661,22596
662,6957
663,15131
664,7233
665,17050
666,15895
667,9257
668,16791
669,7040
670,10374
671,20992
672,8685
673,4316
674,20387
675,15537
676,21516
677,22797
678,21452
679,5850
680,3071
681,7402
682,6232
683,24424
684,11310
685,22635
686,6634
687,13819
688,3834
689,14655
690,2647
691,21962
692,14758
693,15338
694,9003
695,12928
696,7645
697,3928
698,11552
699,5356
700,240
701,3913
702,18791
703,19618
704,2592
705,8441
706,11555
707,17749
708,8247
709,1503
710,1809
711,20115
712,23470
713,7677
714,24402
715,18642
716,36
717,9038
718,328
719,14027
720,16164
721,3495
722,16885
723,11765
724,8019
725,6218
726,5813
727,7977
728,8752
729,12514
730,2615
731,3359
732,15583
733,10276
734,16311
735,8966
736,11575
737,10944
738,21491
739,16167
740,799
741,9728
742,13433
743,1586
744,2337
745,19725
746,19442
747,4143
748,11487
749,22370
750,16686
751,24126
752,14030
753,6165
754,24140
755,6077
756,2658
757,17818
758,20718
759,10149
760,15797
761,11194
762,1679
763,14870
764,22150
765,10045
766,12568
767,915
768,3898
769,20205
770,16260
771,22733
772,8835
773,17282
774,20859
775,8858
776,18990
777,11024
778,19924
779,11464
780,19600
781,9201
782,20117
783,10791
784,4419
785,12516
786,14716
787,14428
788,23658
789,24052
790,17618
791,23904
792,8200
793,10898
794,24073
795,2626
796,1398
797,8982
798,19125
799,4885
800,16601
801,22484
802,24367
803,15805
804,4016
805,17127
806,17214
807,14193
808,16864
809,3797
810,7736
811,16310
812,20612
813,23352
814,3955
815,9483
816,9532
817,7766
818,18695
819,16073
820,23299
821,14018
822,6257
823,17520
824,13636
825,20415
826,4887
827,7553
828,22901
829,9827
830,6163
831,14583
832,13033
833,18574
834,13945
835,2191
836,8559
837,2059
838,14888
839,5914
840,144
841,3681
842,20365
843,12326
844,24338
845,14998
846,6139
847,3315
848,19467
849,7295
850,2166
851,21949
852,20423
853,8716
854,11323
855,12814
856,21540
857,4465
858,4133
859,7712
860,11721
861,11924
862,23459
863,12241
864,12633
865,17942
866,9645
867,4559
868,19
869,17020
870,19653
871,3886
872,3724
873,19238
874,15784
875,1764
876,1400
877,18403
878,3307
879,3013
880,15918
881,9765
882,21013
883,7175
884,3586
885,15432
886,16986
887,653
888,15865
889,4682
890,6858
891,10728
892,5272
893,17655
894,12551
895,2426
896,6950
897,8579
898,11308
899,5041
900,22852
901,10725
902,5495
903,6641
904,274
905,21966
906,8876
907,8841
908,6460
909,18348
910,19465
911,619
912,19415
913,5936
914,15725
915,17873
916,7391
917,4829
918,18219
919,13232
920,23480
921,8315
922,19348
923,6361
924,3481
925,22115
926,16867
927,17633
928,20950
929,1126
930,10888
931,3029
932,11275
933,15350
934,13873
935,2971
936,11354
937,24248
938,3881
939,1225
940,20107
941,251
942,933
943,20959
944,16093
945,11621
946,12447
947,5737
948,23143
949,21222
950,7497
951,20018
952,7362
953,23393
954,643
955,455
956,23511
957,1615
958,18671
959,13128
960,15204
961,6968
962,14308
963,2765
964,17263
965,22688
966,23475
967,16493
968,5715
969,8129
970,22702
971,15816
972,14172
973,8737
974,1658
975,7352
976,4117
977,1248
978,11608
979,8218
980,20240
981,9701
982,6765
983,11848
984,15631
985,14103
986,16496
987,19144
988,2066
989,11865
990,11781
991,9780
992,15303
993,18616
994,7805
995,14401
996,2774
997,5348
998,18608
999,1
1000,12025
1001,6730
1002,4961
1003,18402
1004,24136
1005,19377
1006,20913
1007,13105
1008,14651
1009,17348
1010,15311
1011,20888
1012,12976
1013,23849
1014,11264
1015,6438
1016,5828
1017,14645
1018,9783
1019,21394
1020,9531
1021,3430
1022,16349
1023,1872
1024,10834
1025,10617
1026,22634
1027,22677
1028,883
1029,13184
1030,23055
1031,23294
1032,24035
1033,9183
1034,10493
1035,11685
1036,23256
1037,1436
1038,10691
1039,13826
1040,17341
1041,5685
1042,13195
1043,3247
1044,2591
1045,10199
1046,8953
1047,8666
1048,20678
1049,22440
1050,3267
1051,5318
1052,22646
1053,20431
1054,20424
1055,14939
1056,20374
1057,17427
1058,22460
1059,15094
1060,10971
1061,3971
1062,22016
1063,3801
1064,16361
1065,17299
1066,15120
1067,489
1068,20250
1069,855
1070,22267
1071,8803
1072,12954
1073,15953
1074,17982
1075,19186
1076,4054
1077,10150
1078,9278
1079,21066
1080,20237
1081,8905
1082,22280
1083,22958
1084,6326
1085,16875
1086,17419
1087,22316
1088,398
1089,11793
1090,7111
1091,14692
1092,959
1093,12235
1094,3070
1095,16412
1096,11203
1097,18214
1098,14334
1099,8416
1100,6510
1101,17983
1102,8093
1103,7858
1104,14922
1105,13208
1106,17956
1107,6185
1108,3598
1109,6366
1110,10272
1111,10239
1112,17657
1113,5842
1114,18179
1115,8305
1116,9432
1117,23652
1118,19303
1119,4694
1120,11383
1121,15164
1122,15456
1123,14632
1124,11773
1125,3109
1126,10926
1127,7969
1128,21060
1129,20659
1130,15548
1131,12931
1132,17704
1133,2697
1134,12386
1135,1273
1136,19843
1137,21651
1138,8916
1139,19137
1140,3848
1141,9425
1142,23345
1143,4929
1144,17137
1145,17030
1146,370
1147,13532
1148,3102
1149,19647
1150,3317
1151,8643
1152,12799
1153,21721
1154,20142
1155,7267
1156,20986
1157,18680
1158,2894
1159,1806
1160,11324
1161,14088
1162,3686
1163,1236
1164,19277
1165,7507
1166,1568
1167,12530
1168,15890
1169,20274
1170,11622
1171,21132
1172,1599
1173,10025
1174,23950
1175,24010
1176,19572
1177,9088
1178,13385
1179,16591
1180,20140
1181,20105
1182,10656
1183,1410
1184,22203
1185,6943
1186,3704
1187,8571
1188,14445
1189,609
1190,21460
1191,7828
1192,11636
1193,21126
1194,2690
1195,20973
1196,18571
1197,21149
1198,3393
1199,22437
1200,4464
1201,879
1202,15111
1203,14992
1204,3276
1205,9209
1206,9561
1207,20797
1208,18911
1209,15448
1210,5237
1211,20181
1212,1101
1213,6244
1214,16472
1215,4424
1216,10951
1217,22033
1218,14260
1219,17801
1220,16065
1221,20900
1222,986
1223,23362
1224,10743
1225,13988
1226,23423
1227,3879
1228,4345
1229,18682
1230,13933
1231,3114
1232,24083
1233,8564
1234,11572
1235,1500
1236,13914
1237,20114
1238,10340
1239,22810
1240,23860
1241,4602
1242,11866
1243,3737
1244,15100
1245,14032
1246,456
1247,22425
1248,23845
1249,5295
1250,21817
1251,11803
1252,8827
1253,23911
1254,20524
1255,1663
1256,5030
1257,21160
1258,14463
1259,20516
1260,15917
1261,17335
1262,17609
1263,6685
1264,14657
1265,9277
1266,21720
1267,23140
1268,7369
1269,939
1270,21640
1271,22336
1272,15261
1273,16567
1274,17517
1275,6247
1276,19568
1277,8243
1278,6290
1279,14189
1280,15972
1281,8453
1282,21904
1283,18601
1284,5591
1285,17689
1286,15088
1287,13319
1288,11737
1289,13256
1290,10954
1291,12505
1292,1432
1293,8999
1294,9893
1295,22093
1296,310
1297,19840
1298,10623
1299,2494
1300,20024
1301,6914
1302,20020
1303,14881
1304,785
1305,17916
1306,7189
1307,10366
1308,18882
1309,15025
1310,11635
1311,15278
1312,2041
1313,3574
1314,5467
1315,19202
1316,18999
1317,23330
1318,3550
1319,11832
1320,22024
1321,7846
1322,19234
1323,6058
1324,23683
1325,8542
1326,13143
1327,21273
1328,8520
1329,21758
1330,13527
1331,16873
1332,23432
1333,21997
1334,11400
1335,4075
1336,9145
1337,11904
1338,19561
1339,12452
1340,3635
1341,4702
1342,19795
1343,23478
1344,14893
1345,13130
1346,5429
1347,19614
1348,22262
1349,23696
1350,23056
1351,13392
1352,465
1353,10657
1354,301
1355,10281
1356,8845
1357,21998
1358,14588
1359,12615
1360,4800
1361,11295
1362,7425
1363,18290
1364,10744
1365,17720
1366,6566
1367,21916
1368,14945
1369,21884
1370,4219
1371,22685
1372,5262
1373,1210
1374,21692
1375,22254
1376,17486
1377,4872
1378,13055
1379,14688
1380,13429
1381,6609
1382,5353
1383,6999
1384,15030
1385,11418
1386,19358
1387,17738
1388,23868
1389,20808
1390,7764
1391,3794
1392,17561
1393,21665
1394,5103
1395,8631
1396,24221
1397,10108
1398,17365
1399,7440
1400,6351
1401,16760
1402,5150
1403,18477
1404,6513
1405,15659
1406,23113
1407,2815
1408,20179
1409,693
1410,11110
1411,7340
1412,21246
1413,14026
1414,2212
1415,21428
1416,19810
1417,18281
1418,22987
1419,15427
1420,17395
1421,21695
1422,13394
1423,18368
1424,8026
1425,16228
1426,4917
1427,16521
1428,6286
1429,5799
1430,17705
1431,24373
1432,18760
1433,9779
1434,1050
1435,6944
1436,16718
1437,22985
1438,21224
1439,24374
1440,2379
1441,2367
1442,10999
1443,19139
1444,10017
1445,390
1446,11341
1447,1098
1448,13835
1449,4196
1450,20919
1451,23031
1452,18184
1453,19413
1454,6334
1455,5964
1456,12980
1457,9204
1458,18497
1459,10172
1460,2667
1461,14851
1462,13314
1463,7068
1464,13880
1465,19736
1466,19894
1467,7101
1468,6532
1469,23124
1470,14766
1471,15641
1472,21854
1473,21906
1474,23529
1475,23034
1476,12409
1477,1712
1478,844
1479,22652
1480,9297
1481,19450
1482,17904
1483,3258
1484,7041
1485,14597
1486,12665
1487,13239
1488,20591
1489,17599
1490,8283
1491,11643
1492,18457
1493,18587
1494,10519
1495,20231
1496,21343
1497,21208
1498,5690
1499,22796
1500,6778
1501,2977
1502,12323
1503,9843
1504,2997
1505,18629
1506,179
1507,19037
1508,4138
1509,6455
1510,13918
1511,5199
1512,19463
1513,16820
1514,802
1515,8693
1516,23292
1517,6260
1518,10472
1519,20101
1520,5172
1521,9690
1522,15481
1523,4624
1524,7212
1525,10562
1526,1124
1527,5879
1528,18478
1529,21365
1530,2514
1531,14109
1532,13948
1533,8127
1534,19868
1535,13610
1536,1833
1537,6137
1538,11314
1539,404
1540,17404
1541,15192
1542,4863
1543,7145
1544,5573
1545,11570
1546,13572
1547,15812
1548,7449
1549,14266
1550,14774
1551,6741
1552,1427
1553,8395
1554,20040
1555,14310
1556,21615
1557,17254
1558,21381
1559,1411
1560,22023
1561,20687
1562,8168
1563,23238
1564,24225
1565,24210
1566,1143
1567,13308
1568,10275
1569,22558
1570,22341
1571,16645
1572,5416
1573,2020
1574,15724
1575,12088
1576,3449
1577,21835
1578,13523
1579,18967
1580,9150
1581,19723
1582,12673
1583,20126
1584,3167
1585,664
1586,18787
1587,18820
1588,21142
1589,10165
1590,2681
1591,3188
1592,9699
1593,9656
1594,16044
1595,12260
1596,10398
1597,12497
1598,20355
1599,14533
1600,12125
1601,18322
1602,10558
1603,19250
1604,21760
1605,2135
1606,2110
1607,10219
1608,15700
1609,21410
1610,11927
1611,5080
1612,19136
1613,23679
1614,9795
1615,4749
1616,2424
1617,19138
1618,3950
1619,22442
1620,13354
1621,3445
1622,21315
1623,4151
1624,372
1625,21204
1626,3330
1627,19844
1628,7811
1629,5155
1630,1948
1631,16872
1632,4270
1633,20034
1634,12598
1635,24132
1636,4051
1637,14284
1638,11457
1639,5334
1640,11084
1641,20582
1642,7232
1643,3471
1644,18572
1645,8191
1646,5355
1647,7115
1648,5422
1649,13328
1650,5178
1651,24437
1652,3751
1653,15117
1654,11808
1655,18929
1656,2295
1657,17160
1658,13245
1659,19074
1660,21807
1661,20100
1662,9385
1663,9840
1664,11827
1665,12971
1666,21917
1667,239
1668,17001
1669,9935
1670,8814
1671,13346
1672,2419
1673,14411
1674,10491
1675,13277
1676,19578
1677,1594
1678,15637
1679,20719
1680,17886
1681,21711
1682,16546
1683,22252
1684,2753
1685,24015
1686,1242
1687,921
1688,24109
1689,7022
1690,17579
1691,154
1692,6019
1693,23379
1694,13342
1695,17820
1696,11186
1697,17608
1698,17455
1699,21311
1700,23656
1701,17902
1702,7836
1703,12042
1704,6152
1705,9010
1706,17364
1707,4548
1708,6938
1709,2916
1710,5417
1711,9378
1712,12463
1713,14975
1714,21357
1715,3243
1716,18151
1717,24028
1718,17472
1719,18887
1720,10588
1721,5408
1722,9947
1723,12783
1724,19347
1725,3269
1726,10485
1727,23816
1728,2882
1729,9875
1730,10737
1731,23277
1732,22124
1733,2902
1734,12647
1735,14437
1736,18166
1737,10828
1738,19018
1739,5572
1740,21318
1741,18646
1742,13367
1743,23161
1744,13064
1745,12117
1746,23731
1747,14846
1748,18144
1749,7482
1750,18212
1751,7982
1752,7569
1753,10074
1754,5802
1755,4880
1756,6414
1757,23576
1758,630
1759,16614
1760,11962
1761,10929
1762,739
1763,2600
1764,13849
1765,19036
1766,1228
1767,14475
1768,18490
1769,9684
1770,7147
1771,9569
1772,18187
1773,10301
1774,5109
1775,17907
1776,21377
1777,20006
1778,13841
1779,10396
1780,19685
1781,20814
1782,13596
1783,19440
1784,21374
1785,10007
1786,18203
1787,12611
1788,13444
1789,5137
1790,24462
1791,12951
1792,6648
1793,15199
1794,20547
1795,20624
1796,6433
1797,21627
1798,12508
1799,9842
1800,9598
1801,4522
1802,16717
1803,19573
1804,16856
1805,4999
1806,22067
1807,17623
1808,10987
1809,4886
1810,1607
1811,22432
1812,20907
1813,9067
1814,18648
1815,3237
1816,23358
1817,4395
1818,22550
1819,5173
1820,259
1821,20734
1822,3521
1823,13583
1824,9922
1825,2988
1826,12478
1827,17145
1828,20299
1829,22704
1830,21839
1831,1384
1832,16992
1833,899
1834,1850
1835,14166
1836,18446
1837,10789
1838,2112
1839,17936
1840,18978
1841,17078
1842,411
1843,5779
1844,7580
1845,10601
1846,13692
1847,6796
1848,14467
1849,15493
1850,8414
1851,18093
1852,11017
1853,18188
1854,21870
1855,22413
1856,21820
1857,12361
1858,1303
1859,22811
1860,7927
1861,22579
1862,23942
1863,5070
1864,8348
1865,14077
1866,17136
1867,5435
1868,17123
1869,21740
1870,9000
1871,17384
1872,16604
1873,10581
1874,13909
1875,23258
1876,16110
1877,19744
1878,21386
1879,18327
1880,4445
1881,9218
1882,24445
1883,2101
1884,15533
1885,20924
1886,22079
1887,15759
1888,5945
1889,3203
1890,7038
1891,16627
1892,7544
1893,4098
1894,6785
1895,19998
1896,24295
1897,18492
1898,7722
1899,20291
1900,17624
1901,18488
1902,17571
1903,23298
1904,24332
1905,21599
1906,8547
1907,16284
1908,10140
1909,18444
1910,11612
1911,7662
1912,12863
1913,12522
1914,6256
1915,10935
1916,10429
1917,16524
1918,602
1919,11500
1920,10816
1921,1433
1922,9796
1923,22718
1924,24119
1925,13666
1926,20580
1927,9870
1928,6116
1929,6075
1930,12924
1931,10368
1932,13941
1933,5012
1934,932
1935,19090
1936,8371
1937,16991
1938,17058
1939,3189
1940,15180
1941,2549
1942,6568
1943,8041
1944,13142
1945,6330
1946,7308
1947,507
1948,18248
1949,9199
1950,15401
1951,23802
1952,2165
1953,3536
1954,4317
1955,11938
1956,18766
1957,2519
1958,8808
1959,11235
1960,15434
1961,23234
1962,17544
1963,18363
1964,23889
1965,20662
1966,15488
1967,18969
1968,20998
1969,2743
1970,16399
1971,14276
1972,9617
1973,22594
1974,20965
1975,94
1976,9826
1977,13822
1978,6975
1979,15428
1980,17807
1981,23723
1982,11215
1983,15082
1984,11190
1985,816
1986,8257
1987,12376
1988,21331
1989,9348
1990,17169
1991,21435
1992,22151
1993,19296
1994,2817
1995,3982
1996,16821
1997,8141
1998,22322
1999,21907
2000,13423
2001,21946
2002,18895
2003,19166
2004,2535
2005,6762
2006,6764
2007,9100
2008,11600
2009,10390
2010,12781
2011,11686
2012,14374
2013,2839
2014,5449
2015,5786
2016,14350
2017,22257
2018,16835
2019,10212
2020,20833
2021,10991
2022,21459
2023,226
2024,22275
2025,6068
2026,13185
2027,15265
2028,17592
2029,15392
2030,10480
2031,5285
2032,2981
2033,7160
2034,21449
2035,19437
2036,21465
2037,8936
2038,16744
2039,2138
2040,9105
2041,13853
2042,19958
2043,20877
2044,16209
2045,15861
2046,14969
2047,11221
2048,18006
2049,11181
2050,18653
2051,13761
2052,21762
2053,7542
2054,12843
2055,14090
2056,23125
2057,24067
2058,23252
2059,16726
2060,20229
2061,7903
2062,3106
2063,22047
2064,23024
2065,14216
2066,10993
2067,20128
2068,19547
2069,1800
2070,126
2071,9002
2072,22240
2073,5739
2074,20844
2075,608
2076,13893
2077,583
2078,2152
2079,1713
2080,21780
2081,12153
2082,6360
2083,849
2084,4810
2085,5932
2086,17621
2087,14570
2088,18707
2089,20244
2090,2304
2091,20047
2092,12442
2093,6752
2094,11935
2095,24429
2096,3952
2097,19583
2098,11844
2099,5511
2100,20817
2101,23835
2102,14529
2103,20581
2104,11691
2105,10969
2106,8309
2107,23891
2108,17043
2109,9087
2110,11214
2111,24170
2112,20454
2113,5274
2114,6010
2115,14762
2116,22653
2117,2888
2118,20629
2119,22209
2120,18773
2121,4167
2122,9615
2123,21750
2124,20934
2125,19659
2126,20587
2127,14270
2128,22729
2129,22721
2130,11536
2131,2682
2132,10840
2133,16334
2134,22549
2135,15551
2136,2439
2137,24095
2138,5743
2139,23006
2140,21100
2141,12936
2142,13371
2143,1313
2144,1997
2145,19855
2146,8227
2147,23899
2148,24263
2149,1902
2150,3899
2151,9018
2152,9943
2153,17274
2154,7582
2155,21140
2156,10447
2157,3026
2158,12252
2159,1404
2160,5014
2161,10334
2162,14013
2163,13510
2164,15483
2165,23980
2166,5487
2167,23974
2168,19276
2169,11141
2170,22133
2171,697
2172,15826
2173,15304
2174,2126
2175,17799
2176,13869
2177,960
2178,2015
2179,5819
2180,5877
2181,24254
2182,3698
2183,13727
2184,2943
2185,5553
2186,11674
2187,9188
2188,19902
2189,9811
2190,4282
2191,1580
2192,346
2193,6191
2194,8031
2195,2235
2196,15412
2197,18417
2198,14646
2199,12622
2200,11127
2201,2226
2202,824
2203,1939
2204,23048
2205,16295
2206,19322
2207,16637
2208,6327
2209,21727
2210,3257
2211,1854
2212,38
2213,4462
2214,13897
2215,1007
2216,7195
2217,1277
2218,3712
2219,9872
2220,10397
2221,5451
2222,1048
2223,3893
2224,17864
2225,3645
2226,5021
2227,14626
2228,6880
2229,12203
2230,16358
2231,24152
2232,7488
2233,18620
2234,2429
2235,17837
2236,12197
2237,17992
2238,17257
2239,24345
2240,22189
2241,6509
2242,7981
2243,21581
2244,13212
2245,2312
2246,9916
2247,5846
2248,4717
2249,8935
2250,15756
2251,2056
2252,1907
2253,19896
2254,656
2255,2172
2256,4371
2257,5399
2258,22841
2259,15787
2260,11206
2261,16861
2262,24304
2263,11132
2264,20923
2265,16126
2266,20915
2267,614
2268,18599
2269,22208
2270,21860
2271,13025
2272,6668
2273,21646
2274,22462
2275,21553
2276,5386
2277,11762
2278,17583
2279,15841
2280,16841
2281,3633
2282,9921
2283,6404
2284,12354
2285,20517
2286,8795
2287,5453
2288,219
2289,7835
2290,15440
2291,24451
2292,18884
2293,18665
2294,5191
2295,16956
2296,19016
2297,20212
2298,448
2299,9233
2300,11246
2301,2129
2302,24185
2303,23489
2304,19988
2305,22874
2306,14469
2307,16995
2308,20474
2309,16283
2310,24378
2311,14783
2312,21320
2313,23667
2314,7110
2315,1093
2316,18588
2317,21137
2318,8836
2319,8832
2320,11153
2321,11218
2322,10799
2323,19262
2324,13670
2325,4274
2326,17433
2327,12057
2328,20755
2329,107
2330,17450
2331,14987
2332,16089
2333,14476
2334,12094
2335,19243
2336,22304
2337,1943
2338,6541
2339,14093
2340,13836
2341,18018
2342,1873
2343,22335
2344,11440
2345,18744
2346,23433
2347,6086
2348,9970
2349,8729
2350,8986
2351,17288
2352,2095
2353,21897
2354,22450
2355,11695
2356,11473
2357,9226
2358,14046
2359,980
2360,16722
2361,15403
2362,11583
2363,19403
2364,10701
2365,11639
2366,14130
2367,12828
2368,19093
2369,14278
2370,16560
2371,20541
2372,9144
2373,2119
2374,9528
2375,3715
2376,659
2377,16617
2378,13086
2379,19753
2380,10675
2381,12439
2382,8629
2383,2248
2384,5243
2385,16498
2386,11837
2387,16339
2388,13713
2389,8574
2390,5056
2391,21249
2392,3675
2393,12232
2394,24049
2395,6128
2396,18965
2397,19123
2398,21156
2399,15920
2400,120
2401,14517
2402,2555
2403,853
2404,11696
2405,8165
2406,22497
2407,10749
2408,292
2409,19409
2410,7201
2411,12565
2412,2217
2413,23657
2414,5766
2415,12961
2416,4731
2417,4421
2418,640
2419,24399
2420,14757
2421,15449
2422,21211
2423,3491
2424,628
2425,502
2426,7489
2427,15833
2428,657
2429,24155
2430,21669
2431,14971
2432,4600
2433,12590
2434,10921
2435,2922
2436,22519
2437,22915
2438,17656
2439,13745
2440,5992
2441,3684
2442,11665
2443,18285
2444,24037
2445,1000
2446,6110
